,remote_changes
62,"[{'score': 0.5767, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
63,"[{'score': 0.967801, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.884138, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
64,"[{'score': 0.934911, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.791857, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
65,"[{'score': 0.67368, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
66,"[{'score': 0.948691, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.813431, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
67,"[{'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
68,"[{'score': 0.532969, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.716804, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
69,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
70,
71,[]
72,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
73,"[{'score': 0.88516, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.964647, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
74,[]
75,"[{'score': 0.653258, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
76,[]
77,[]
78,[]
79,[]
80,"[{'score': 0.571873, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
81,[]
82,[]
83,"[{'score': 0.569671, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
84,"[{'score': 0.703988, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
85,"[{'score': 0.890302, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
86,"[{'score': 0.505395, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
87,"[{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
88,[]
89,[]
90,"[{'score': 0.977355, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
91,[]
92,"[{'score': 0.970179, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
93,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
94,"[{'score': 0.946394, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.922889, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
95,"[{'score': 0.923621, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.914329, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
96,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
97,"[{'score': 0.677807, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
98,[]
99,"[{'score': 0.944551, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
100,"[{'score': 0.839659, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
101,"[{'score': 0.585124, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.896412, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.861258, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
102,[]
103,"[{'score': 0.698008, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
104,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
105,[]
106,"[{'score': 0.702145, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
107,"[{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
108,"[{'score': 0.818604, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
109,[]
110,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
111,"[{'score': 0.802309, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
112,[]
113,[]
114,[]
115,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
116,[]
117,[]
118,[]
119,"[{'score': 0.535355, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
120,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
121,"[{'score': 0.618682, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.93884, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
122,"[{'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
123,"[{'score': 0.828638, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.839577, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
125,"[{'score': 0.997482, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
126,[]
127,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
128,"[{'score': 0.77494, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.901164, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
129,"[{'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
130,"[{'score': 0.710762, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.961593, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
131,[]
132,"[{'score': 0.698766, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
133,"[{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
134,"[{'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
135,"[{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
136,"[{'score': 0.697773, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.659112, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
137,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
138,"[{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
139,"[{'score': 0.624492, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.942174, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.936899, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
140,"[{'score': 0.518929, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.727988, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.778006, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
141,"[{'score': 0.587599, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
142,[]
143,"[{'score': 0.508287, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.897643, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
144,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
145,"[{'score': 0.63832, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.873624, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
146,[]
147,[]
148,"[{'score': 0.537754, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.98294, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
149,"[{'score': 0.775702, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.874319, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
150,"[{'score': 0.517905, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
151,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
152,[]
153,"[{'score': 0.928991, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
154,[]
155,"[{'score': 0.618186, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.98445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
156,[]
157,[]
158,"[{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
159,[]
160,"[{'score': 0.968931, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
161,"[{'score': 0.61954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.838624, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
162,"[{'score': 0.985457, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
163,"[{'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
164,[]
165,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
166,[]
167,[]
168,"[{'score': 0.561555, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.544371, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
169,[]
170,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
171,"[{'score': 0.885251, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
172,[]
173,"[{'score': 0.613079, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.683494, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
174,[]
175,"[{'score': 0.996505, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
176,"[{'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
177,"[{'score': 0.51573, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.98294, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
178,"[{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
179,[]
180,"[{'score': 0.961924, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.726943, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
181,"[{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
182,"[{'score': 0.551136, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
183,"[{'score': 0.747663, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
184,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
185,[]
186,"[{'score': 0.839577, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
187,[]
188,"[{'score': 0.743104, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
189,"[{'score': 0.617218, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
190,"[{'score': 0.784247, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
191,"[{'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
192,"[{'score': 0.643068, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
193,"[{'score': 0.600043, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.551743, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
194,"[{'score': 0.647786, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
195,"[{'score': 0.674737, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.84917, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
196,[]
197,"[{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
198,"[{'score': 0.593341, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
199,"[{'score': 0.623497, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.756394, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
200,"[{'score': 0.577463, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.821913, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
201,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
202,"[{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
203,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
204,"[{'score': 0.744822, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.901894, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
205,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
206,"[{'score': 0.51537, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
207,"[{'score': 0.718563, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
209,"[{'score': 0.943621, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
210,[]
211,"[{'score': 0.895124, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
212,"[{'score': 0.773514, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
213,"[{'score': 0.701054, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
214,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
215,"[{'score': 0.742037, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
216,"[{'score': 0.683177, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.58393, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
217,"[{'score': 0.868982, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.798791, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
218,"[{'score': 0.506937, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
219,[]
220,[]
221,"[{'score': 0.93143, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.947969, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
222,[]
223,"[{'score': 0.629823, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
224,"[{'score': 0.955166, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
225,"[{'score': 0.757318, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.928648, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.936402, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
226,"[{'score': 0.908592, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.827288, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
227,"[{'score': 0.951204, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
228,[]
229,"[{'score': 0.955608, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
230,"[{'score': 0.974578, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
231,[]
232,"[{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
233,"[{'score': 0.664451, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
234,"[{'score': 0.915214, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
235,[]
236,"[{'score': 0.502064, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
237,[]
238,"[{'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
239,[]
240,[]
241,
242,"[{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
243,"[{'score': 0.735673, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
244,"[{'score': 0.704683, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
245,"[{'score': 0.655533, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
246,"[{'score': 0.553101, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
247,"[{'score': 0.728916, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
248,"[{'score': 0.555125, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
249,[]
250,[]
251,"[{'score': 0.524394, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
252,"[{'score': 0.564278, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
253,"[{'score': 0.532583, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
254,[]
255,[]
256,"[{'score': 0.646591, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
257,"[{'score': 0.805137, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
258,"[{'score': 0.551743, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.922197, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
259,"[{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
260,"[{'score': 0.577047, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.823467, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.665997, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
261,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
262,"[{'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
263,"[{'score': 0.550324, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.669068, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
264,[]
265,"[{'score': 0.730335, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
266,[]
267,[]
268,"[{'score': 0.836844, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
269,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
270,[]
271,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
272,"[{'score': 0.808897, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
273,"[{'score': 0.683475, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97667, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
274,"[{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
275,"[{'score': 0.862286, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
276,"[{'score': 0.729901, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.538448, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
277,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
278,"[{'score': 0.678286, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.952443, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
279,"[{'score': 0.690444, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.962182, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
280,[]
281,"[{'score': 0.727798, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
282,"[{'score': 0.609762, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
283,"[{'score': 0.555401, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
284,[]
285,
286,"[{'score': 0.690936, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.960609, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.696516, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
287,"[{'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
288,"[{'score': 0.948998, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
289,"[{'score': 0.952663, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
290,
291,"[{'score': 0.671038, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
292,"[{'score': 0.569637, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.601046, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
293,"[{'score': 0.664451, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
294,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
295,"[{'score': 0.6821, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.887937, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
296,"[{'score': 0.562333, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.816877, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
297,[]
298,"[{'score': 0.536102, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
299,"[{'score': 0.71572, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.969651, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
300,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
301,"[{'score': 0.684215, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
302,"[{'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
303,"[{'score': 0.604963, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.989892, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
304,"[{'score': 0.588527, 'tone_id': 'fear', 'tone_name': 'Fear'}]"
305,[]
306,[]
