,why_mode
54,"[{'score': 0.747233, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
55,"[{'score': 0.78159, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
57,[]
58,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
59,"[{'score': 0.507399, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.798791, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
60,[]
61,
62,[]
63,"[{'score': 0.505807, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.749306, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
64,"[{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.909883, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
65,
66,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
67,[]
68,"[{'score': 0.54728, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.68097, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.888555, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
69,[]
70,[]
71,"[{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
72,"[{'score': 0.774377, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
73,"[{'score': 0.746925, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
74,"[{'score': 0.656021, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.735644, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
75,[]
76,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
77,
78,[]
79,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
80,[]
81,"[{'score': 0.677059, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
82,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
83,
84,
85,[]
86,[]
87,"[{'score': 0.512915, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.741964, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
88,"[{'score': 0.527494, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
89,"[{'score': 0.509245, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
90,"[{'score': 0.901894, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
91,"[{'score': 0.541562, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.970179, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
92,"[{'score': 0.978086, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
93,"[{'score': 0.895415, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
94,[]
95,"[{'score': 0.680759, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.802757, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
96,"[{'score': 0.677101, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.627525, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
97,"[{'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
98,[]
99,"[{'score': 0.6344, 'tone_id': 'fear', 'tone_name': 'Fear'}]"
100,"[{'score': 0.93884, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
101,"[{'score': 0.957847, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
102,[]
103,"[{'score': 0.862286, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
104,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
105,"[{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
106,"[{'score': 0.662378, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.990331, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.865388, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
107,"[{'score': 0.738715, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
108,[]
109,[]
110,[]
111,"[{'score': 0.527337, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.934609, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
112,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
113,"[{'score': 0.901894, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
114,"[{'score': 0.604493, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
115,[]
116,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
117,"[{'score': 0.589739, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
118,"[{'score': 0.704057, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.598602, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.670204, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
119,[]
120,"[{'score': 0.54908, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.886272, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.828525, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
121,[]
122,"[{'score': 0.779088, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
123,"[{'score': 0.785303, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
125,
126,"[{'score': 0.775702, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.821913, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
127,
128,"[{'score': 0.944551, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
129,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
130,[]
131,"[{'score': 0.928569, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
132,
133,"[{'score': 0.58393, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.911475, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
134,"[{'score': 0.855572, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
135,[]
136,"[{'score': 0.93884, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
137,"[{'score': 0.600857, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
138,"[{'score': 0.913895, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
139,"[{'score': 0.702476, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.902459, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
140,"[{'score': 0.803567, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
141,
142,"[{'score': 0.590005, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
143,"[{'score': 0.668665, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
144,"[{'score': 0.944551, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
145,"[{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
146,"[{'score': 0.514227, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
147,[]
148,[]
149,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
150,"[{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
151,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
152,
153,
154,[]
155,"[{'score': 0.524187, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.965509, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
156,[]
157,[]
158,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
159,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
160,"[{'score': 0.986576, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
161,
162,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
163,"[{'score': 0.838573, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.959646, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
164,"[{'score': 0.556444, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
165,[]
166,[]
167,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
168,[]
169,"[{'score': 0.911392, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
170,
171,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
172,"[{'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
173,
174,[]
175,"[{'score': 0.731153, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
176,
177,"[{'score': 0.647781, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.867679, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
178,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
179,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
180,"[{'score': 0.641893, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.589192, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.942061, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
181,[]
182,"[{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
183,[]
184,
185,"[{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
186,
187,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
188,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
189,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
190,[]
191,
192,"[{'score': 0.826325, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
193,"[{'score': 0.929993, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
194,"[{'score': 0.878648, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.838983, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.989229, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
195,[]
196,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
197,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
198,"[{'score': 0.803567, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
199,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
200,"[{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
201,"[{'score': 0.642106, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
202,"[{'score': 0.821913, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.775702, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
203,"[{'score': 0.788547, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
204,"[{'score': 0.603384, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
205,
206,"[{'score': 0.506846, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
207,"[{'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
209,"[{'score': 0.819951, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
210,"[{'score': 0.802757, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
211,[]
212,"[{'score': 0.765062, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.670204, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
213,
214,"[{'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
215,"[{'score': 0.618368, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
216,"[{'score': 0.904038, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.704683, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
217,[]
218,"[{'score': 0.931994, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.752665, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
219,[]
220,"[{'score': 0.636257, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
221,"[{'score': 0.574477, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
222,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
223,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
224,"[{'score': 0.756826, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
225,[]
226,"[{'score': 0.609721, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.75489, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
227,"[{'score': 0.506194, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.895415, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
228,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
229,"[{'score': 0.681506, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.958239, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
230,[]
231,[]
232,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
233,"[{'score': 0.814556, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.862953, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
234,"[{'score': 0.650294, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.858259, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
235,[]
236,"[{'score': 0.792365, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
237,[]
238,[]
239,"[{'score': 0.69521, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
240,"[{'score': 0.727988, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
241,
242,"[{'score': 0.996934, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
243,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
244,
245,[]
246,"[{'score': 0.746861, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.515576, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
247,"[{'score': 0.664771, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.944551, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
248,"[{'score': 0.941308, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
249,
250,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
251,
252,"[{'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
253,"[{'score': 0.901894, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
254,"[{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.93884, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
255,[]
256,"[{'score': 0.502357, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
257,"[{'score': 0.821913, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
258,
259,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
260,"[{'score': 0.587893, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.596122, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
261,
262,"[{'score': 0.60536, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.636458, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
263,"[{'score': 0.722586, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.910117, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
264,[]
265,"[{'score': 0.829888, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
266,[]
267,"[{'score': 0.772534, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
268,"[{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
269,[]
270,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
271,[]
272,[]
273,"[{'score': 0.792937, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.645985, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.711887, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
274,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
275,[]
276,[]
277,[]
278,"[{'score': 0.577971, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
279,"[{'score': 0.713322, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.873263, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.538448, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
280,"[{'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
281,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
282,"[{'score': 0.874319, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
283,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
284,"[{'score': 0.832004, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
285,
286,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
287,"[{'score': 0.874814, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.791422, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
288,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
289,"[{'score': 0.507926, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.887937, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.695447, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
290,
291,[]
292,"[{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
293,"[{'score': 0.743151, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
294,[]
295,"[{'score': 0.681265, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.794212, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.872961, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
296,"[{'score': 0.852209, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
297,[]
298,"[{'score': 0.529514, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.551743, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
299,"[{'score': 0.802483, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.887088, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.976532, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
300,"[{'score': 0.991736, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
301,"[{'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
302,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
303,"[{'score': 0.528843, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
304,"[{'score': 0.59534, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
305,"[{'score': 0.653238, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
306,[]
307,"[{'score': 0.725821, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.827415, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
308,"[{'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.929993, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
309,"[{'score': 0.546148, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
310,[]
311,"[{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
312,"[{'score': 0.639283, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
313,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
314,"[{'score': 0.751891, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.963769, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
315,[]
316,"[{'score': 0.719382, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
317,"[{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
318,[]
319,
320,"[{'score': 0.519725, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
321,"[{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
